Date,High,Low,Open,Close,Volume,Adj Close
2021-02-01,332.70001220703125,315.79998779296875,319.45001220703125,332.6499938964844,1186200,332.6499938964844
2021-02-02,350.25,338.8500061035156,339.67999267578125,345.04998779296875,1744500,345.04998779296875
2021-02-03,327.29998779296875,310.70001220703125,321.5,317.25,6296200,317.25
2021-02-04,323.9800109863281,312.8999938964844,319.30999755859375,314.70001220703125,2451300,314.70001220703125
2021-02-05,316.760009765625,306.0,316.2300109863281,310.7699890136719,2342800,310.7699890136719
2021-02-08,325.0799865722656,311.67999267578125,311.92999267578125,323.7900085449219,1609000,323.7900085449219
2021-02-09,334.6199951171875,320.4100036621094,323.3699951171875,334.0,1440500,334.0
2021-02-10,339.6199951171875,325.6300048828125,334.3399963378906,335.7099914550781,1492000,335.7099914550781
2021-02-11,337.8819885253906,325.95001220703125,335.8999938964844,331.8999938964844,1032400,331.8999938964844
2021-02-12,340.42999267578125,329.3949890136719,333.94000244140625,339.70001220703125,1119500,339.70001220703125
2021-02-16,364.0,343.0,343.0,353.7300109863281,1923600,353.7300109863281
2021-02-17,355.7099914550781,342.7300109863281,349.4100036621094,355.19000244140625,1283000,355.19000244140625
2021-02-18,358.7090148925781,341.5899963378906,353.57000732421875,354.8800048828125,1386500,354.8800048828125
2021-02-19,365.989990234375,354.1780090332031,355.6199951171875,364.5899963378906,1313800,364.5899963378906
2021-02-22,387.44000244140625,344.0,360.9100036621094,349.9100036621094,4523400,349.9100036621094
2021-02-23,337.8800048828125,310.3399963378906,332.57000732421875,336.30999755859375,4162000,336.30999755859375
2021-02-24,339.20001220703125,324.0,335.2200012207031,334.69000244140625,1477600,334.69000244140625
2021-02-25,335.0,302.6000061035156,330.0,303.05999755859375,2428200,303.05999755859375
2021-02-26,311.8299865722656,295.3399963378906,300.0,307.3800048828125,2595700,307.3800048828125
2021-03-01,321.7799987792969,307.3999938964844,313.0,321.2799987792969,1539500,321.2799987792969
2021-03-02,326.1499938964844,316.3399963378906,320.07000732421875,322.739990234375,1483000,322.739990234375
2021-03-03,323.0400085449219,299.8900146484375,322.7300109863281,300.239990234375,1636600,300.239990234375
2021-03-04,301.2799987792969,278.2300109863281,297.4800109863281,285.010009765625,2591400,285.010009765625
2021-03-05,291.3699951171875,261.6000061035156,290.0,274.9800109863281,2599400,274.9800109863281
2021-03-08,276.5899963378906,254.9199981689453,275.0,258.3299865722656,2108000,258.3299865722656
2021-03-09,279.6400146484375,268.6000061035156,274.6000061035156,273.5799865722656,2424000,273.5799865722656
2021-03-10,284.0199890136719,269.3999938964844,282.7300109863281,270.19000244140625,1319500,270.19000244140625
2021-03-11,289.3999938964844,273.07000732421875,276.010009765625,286.9599914550781,1854800,286.9599914550781
2021-03-12,281.8699951171875,273.0,280.05999755859375,279.8900146484375,963500,279.8900146484375
2021-03-15,286.3800048828125,275.6700134277344,282.989990234375,285.4599914550781,866800,285.4599914550781
2021-03-16,292.6600036621094,280.2699890136719,289.0,284.69000244140625,891800,284.69000244140625
2021-03-17,287.4599914550781,272.2200012207031,277.3999938964844,283.3500061035156,844700,283.3500061035156
2021-03-18,279.9200134277344,266.1449890136719,278.45001220703125,271.7300109863281,1466800,271.7300109863281
2021-03-19,275.20001220703125,267.4599914550781,269.989990234375,272.1099853515625,1327100,272.1099853515625
2021-03-22,278.57000732421875,273.2149963378906,276.0,275.4700012207031,606500,275.4700012207031
2021-03-23,275.6300048828125,266.54998779296875,274.0,267.29998779296875,802700,267.29998779296875
2021-03-24,271.6600036621094,258.05999755859375,270.8699951171875,258.67999267578125,1053100,258.67999267578125
2021-03-25,258.9700012207031,250.10000610351562,255.0,254.6300048828125,1657700,254.6300048828125
2021-03-26,263.9200134277344,251.0,258.510009765625,261.30999755859375,1267700,261.30999755859375
2021-03-29,261.6050109863281,250.3800048828125,261.0,252.58999633789062,1078700,252.58999633789062
2021-03-30,261.44000244140625,249.0,253.63999938964844,257.69000244140625,1496000,257.69000244140625
2021-03-31,271.8699951171875,263.8999938964844,266.2799987792969,267.95001220703125,1194500,267.95001220703125
2021-04-01,280.0,270.5299987792969,271.19000244140625,273.1000061035156,1183800,273.1000061035156
2021-04-05,279.989990234375,272.0899963378906,279.55999755859375,273.29998779296875,949300,273.29998779296875
2021-04-06,288.6499938964844,278.760009765625,279.989990234375,282.3399963378906,1280500,282.3399963378906
2021-04-07,282.8800048828125,276.510009765625,281.4599914550781,280.1499938964844,690200,280.1499938964844
2021-04-08,285.989990234375,279.5,285.1700134277344,280.94000244140625,679900,280.94000244140625
2021-04-09,279.7300109863281,273.3500061035156,279.67999267578125,279.20001220703125,1171000,279.20001220703125
2021-04-12,278.82000732421875,271.260009765625,277.3800048828125,276.9100036621094,622100,276.9100036621094
2021-04-13,294.2200012207031,278.5,279.9200134277344,293.1199951171875,1154300,293.1199951171875
2021-04-14,294.3999938964844,285.1499938964844,294.0,287.6000061035156,815600,287.6000061035156
2021-04-15,300.94000244140625,290.29998779296875,291.2799987792969,299.739990234375,1216600,299.739990234375
2021-04-16,299.739990234375,290.3999938964844,299.739990234375,292.0199890136719,777800,292.0199890136719
2021-04-19,291.6600036621094,278.0899963378906,287.0,280.3699951171875,1398400,280.3699951171875
2021-04-20,281.0,268.05999755859375,281.0,271.20001220703125,1262200,271.20001220703125
2021-04-21,267.2650146484375,260.6099853515625,267.260009765625,261.7099914550781,1828500,261.7099914550781
2021-04-22,271.6300048828125,264.6099853515625,266.0199890136719,265.1600036621094,1482300,265.1600036621094
2021-04-23,286.2900085449219,267.8599853515625,268.0,284.1099853515625,2239000,284.1099853515625
2021-04-26,298.7300109863281,277.3299865722656,278.1199951171875,298.0199890136719,2239600,298.0199890136719
2021-04-27,299.4849853515625,289.6400146484375,297.8800048828125,292.9200134277344,1239400,292.9200134277344
2021-04-28,270.1600036621094,255.16000366210938,269.70001220703125,256.8399963378906,7772300,256.8399963378906
2021-04-29,265.8800048828125,260.0,262.8399963378906,262.1499938964844,3330800,262.1499938964844
2021-04-30,264.3999938964844,251.9600067138672,260.0,252.1199951171875,2187600,252.1199951171875
2021-05-03,258.6000061035156,246.89999389648438,255.4199981689453,247.69000244140625,2305600,247.69000244140625
2021-05-04,244.8000030517578,236.34500122070312,244.39999389648438,240.1199951171875,2562400,240.1199951171875
2021-05-05,246.33999633789062,236.67100524902344,246.0,239.5,1549900,239.5
2021-05-06,237.72999572753906,230.3000030517578,235.5,237.0399932861328,1770100,237.0399932861328
2021-05-07,246.5,237.35000610351562,242.36000061035156,239.41000366210938,1312600,239.41000366210938
2021-05-10,237.47000122070312,227.6300048828125,235.4199981689453,228.2100067138672,1857300,228.2100067138672
2021-05-11,230.94000244140625,221.0,221.72999572753906,228.00999450683594,2509400,228.00999450683594
2021-05-12,232.00999450683594,223.39999389648438,224.77000427246094,225.60000610351562,1322100,225.60000610351562
2021-05-13,231.41000366210938,214.15499877929688,229.0,217.07000732421875,1635700,217.07000732421875
2021-05-14,223.85000610351562,216.8000030517578,219.0500030517578,223.58999633789062,2461700,223.58999633789062
2021-05-17,223.6999969482422,215.94000244140625,222.9600067138672,223.3300018310547,1352400,223.3300018310547
2021-05-18,230.3800048828125,220.5,225.63999938964844,220.99000549316406,1292600,220.99000549316406
2021-05-19,220.8800048828125,211.10000610351562,212.67999267578125,220.30999755859375,1831800,220.30999755859375
2021-05-20,231.19000244140625,223.51499938964844,225.4600067138672,228.67999267578125,1233400,228.67999267578125
2021-05-21,231.55999755859375,225.39700317382812,229.9499969482422,229.13999938964844,1037500,229.13999938964844
2021-05-24,235.61500549316406,228.3300018310547,229.66000366210938,234.05999755859375,980900,234.05999755859375
2021-05-25,239.09500122070312,233.25,237.00999450683594,236.75999450683594,1126600,236.75999450683594
2021-05-26,239.47000122070312,231.52999877929688,237.89999389648438,238.38999938964844,1364500,238.38999938964844
2021-05-27,242.86500549316406,233.96499633789062,238.39999389648438,240.25999450683594,1002500,240.25999450683594
